Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0000000	14	31	13	28	7	24	9	8	9	10	14	12	17	196
OG0000001	0	1	0	1	0	0	0	0	0	0	0	0	162	164
OG0000002	9	105	1	0	1	0	17	0	0	0	0	0	2	135
OG0000003	10	19	5	12	4	14	11	6	4	3	0	20	15	123
OG0000004	0	0	0	0	0	0	0	0	0	0	0	0	110	110
OG0000005	11	15	10	11	3	1	9	6	9	7	8	9	6	105
OG0000006	10	19	10	10	6	6	9	3	7	7	2	4	7	100
OG0000007	6	10	16	6	5	0	7	0	22	17	0	0	9	98
OG0000008	12	17	9	9	5	7	5	6	7	7	0	3	11	98
OG0000009	12	6	8	13	5	7	6	5	6	5	1	11	6	91
OG0000010	12	20	9	7	0	1	8	7	5	5	3	9	4	90
OG0000011	9	9	8	7	1	0	9	4	4	4	3	21	11	90
OG0000012	58	28	0	2	0	0	0	0	0	0	0	0	1	89
OG0000013	7	8	7	9	0	0	11	3	7	6	0	0	28	86
OG0000014	8	12	6	6	5	18	8	5	5	5	2	0	5	85
OG0000015	54	26	0	1	0	0	0	0	0	0	0	0	2	83
OG0000016	78	2	1	0	0	0	0	0	0	0	0	0	0	81
OG0000017	20	21	15	1	0	0	6	0	1	1	0	0	16	81
OG0000018	13	15	5	7	7	4	6	6	3	2	2	2	7	79
OG0000019	1	71	2	4	0	0	0	0	0	0	0	0	0	78
OG0000020	0	1	7	0	0	0	1	8	34	27	0	0	0	78
OG0000021	9	11	6	9	6	0	11	5	6	7	0	0	7	77
OG0000022	5	18	8	8	2	0	6	1	2	2	0	0	24	76
OG0000023	6	8	9	7	4	0	11	6	6	5	1	0	13	76
OG0000024	10	17	11	7	1	0	4	5	4	4	0	8	5	76
OG0000025	4	7	10	13	2	0	5	4	5	5	2	8	11	76
OG0000026	12	10	10	6	3	0	10	5	4	3	0	0	12	75
OG0000027	14	9	8	5	2	0	7	5	5	5	1	11	2	74
OG0000028	6	12	10	6	2	0	3	6	8	9	0	9	2	73
OG0000029	13	18	4	7	4	3	5	3	3	3	2	2	6	73
OG0000030	66	3	1	0	0	2	0	0	0	0	0	0	0	72
OG0000031	1	1	0	1	0	64	0	0	0	0	0	2	3	72
OG0000032	0	51	1	0	0	0	4	0	0	0	0	0	15	71
OG0000033	10	4	5	7	6	4	4	5	4	4	1	3	13	70
OG0000034	10	9	6	11	4	2	3	3	3	3	5	3	8	70
OG0000035	66	1	0	0	0	0	0	0	0	0	0	0	0	67
OG0000036	13	17	4	8	0	0	12	2	2	2	0	0	7	67
OG0000037	15	16	7	5	0	0	3	4	3	4	0	0	9	66
OG0000038	5	14	5	7	3	0	4	2	4	5	1	8	8	66
OG0000039	13	17	11	1	0	0	7	0	1	1	0	1	13	65
OG0000040	10	8	5	6	3	3	2	3	3	3	0	5	14	65
OG0000041	10	10	2	4	2	18	3	1	2	2	0	1	9	64
OG0000042	11	14	6	4	4	2	5	3	1	3	2	1	8	64
