Organism Name	Annotation Name	Assembly Stats Total Sequence Length
Rhodotorula mucilaginosa		20314606
Rhodotorula babjevae		21862387
Pseudohyphozyma bogoriensis	Annotation submitted by USDA/ARS/ERRC/Sustainable Biofuels and Co-products Research	25859341
Rhodotorula toruloides NP11	Annotation submitted by Dalian Institute of Chemical Physics	20223942
Rhodotorula paludigena	Annotation submitted by Research Center for Advanced Analysis, National Agriculture and Food Research Organization	22499923
Rhodotorula glutinis		19825474
Sporobolomyces pararoseus		21483040
Rhodotorula kratochvilovae		23718404
Microbotryum lychnidis-dioicae p1A1 Lamole		33172729
Rhodotorula graminis WP1	Annotation submitted by DOE Joint Genome Institute	21013998
Sporobolomyces roseus		22396975
Rhodotorula sphaerocarpa		18031004
Leucosporidium creatinivorum		27969159
Rhodotorula diobovata	Annotation submitted by University of Manitoba	21142622
Glaciozyma antarctica PI12		20033549
Phenoliferia glacialis		15890627
Microbotryum violaceum		27015394
Rhodosporidiobolus odoratus		24898183
Rhodotorula taiwanensis	Annotation submitted by Lawrence Livermore National Laboratory	19568495
Microbotryum scabiosae		22775219
Microbotryum intermedium		23443444
Microbotryum silenes-acaulis		29858089
Sporobolomyces phaffii		21493487
Microbotryum saponariae	Annotation submitted by ESE	28653577
Microbotryum silenes-dioicae		33940557
Rhodotorula sp. BUB8		20394133
Rhodotorula sp. S30-09		18521032
Rhodotorula sp. VS67		20263449
Rhodotorula sp. CC01		19925548
Rhodotorula sp. JG-1b	Annotation submitted by DOE Joint Genome Institute	19393393
Microbotryomycetes sp. JL201	Annotation submitted by Duke University	17449121
Sporidiobolaceae sp.		19802249
Rhodotorula sp. PL61-2		21374169
Microbotryomycetes sp. JL221	Annotation submitted by Duke University	18690526
Rhodotorula sp. CCFEE 5036	Annotation submitted by University of California, Riverside	19072598
Rhodosporidiobolus sp. SP3-4		24395395
Rhodotorula sp. CP72-2		21358924
Rhodotorula sp. ZM1		19201912
Leucosporidium yakuticum		26563415
Rhodotorula sp. M30-05A-2		20224578
Leucosporidium scottii		26750114
Glaciozyma martinii		21097315
Phenoliferia sp. Uapishka_3	Annotation submitted by McGill University	32924126
Rhodotorula sp. FNED7-22		16339983
