Organism Name	Annotation Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total
Kwoniella botswanensis	Annotation submitted by Broad Institute	23007246	8705
Malassezia nana	Annotation submitted by Duke University	7702145	4031
Malassezia arunalokei	Annotation submitted by Duke University	7331251	3858
Malassezia japonica	Annotation submitted by Duke University	8433779	4373
Malassezia vespertilionis	Annotation submitted by Duke University	7595203	4022
Kwoniella bestiolae CBS 10118	Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	24551665	9214
Kwoniella dejecticola CBS 10117	Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	23932770	8719
Kwoniella shivajii	Annotation submitted by Broad Institute	22171496	7975
Kwoniella pini CBS 10737	Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	20887338	7877
Kwoniella shandongensis	Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	21305292	7420
Sporisorium graminicola	Annotation submitted by University of Liverpool, Institute of Integrative Biology	19565848	6602
Cutaneotrichosporon cavernicola	Annotation submitted by Tokyo University of Agriculture	20237334	7753
Malassezia brasiliensis	Annotation submitted by Duke University	8000312	3967
Malassezia obtusa	Annotation submitted by Duke University	8169464	3400
Malassezia cuniculi	Annotation submitted by Duke University	7453460	3953
Malassezia psittaci	Annotation submitted by Duke University	8186253	4064
Malassezia yamatoensis	Annotation submitted by Duke University	8264016	4103
Malassezia caprae	Annotation submitted by Duke University	7728824	3629
Rhizoctonia solani	Annotation submitted by China Agricultural University	40703773	12425
Puccinia triticina	Annotation submitted by Henan Agricultural University	122823596	12736
Malassezia restricta	Annotation submitted by Korea Polar Research Institute	7330907	4544
Pyrrhoderma noxium	Annotation submitted by Academia Sinica	31444514	9959
Pleurotus cornucopiae	Annotation submitted by Institute of Agricultural Resources and Regional Planning	32382086	10437
Malassezia furfur	Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	8268083	4601
Cryptococcus decagattii	Annotation submitted by Broad Institute	17768546	6671
Ustilago bromivora	Annotation submitted by Institute of Bioinformatics and Systems Biology	20447485	7408
Vanrija pseudolonga	Annotation submitted by Dankook University	24922244	9775
Kwoniella sp. CBS 6097	Annotation submitted by Broad Institute	26078312	8047
Kwoniella sp. CBS 9459	Annotation submitted by Broad Institute	25236468	7645
Exobasidium rhododendri	Annotation submitted by Hebei University	17559058	6977
